,06H,06V,10H,10V,19H,19V,37H,37V,weight,drysp,depth
87,200.70167437522346,229.75625357490108,203.66440305005753,231.81544084290792,211.80579904170216,236.35113937925442,223.0083339698405,237.95574096898324,9,2,1.1
88,200.94827721874603,230.00116646438298,204.05150065800999,232.19366510259465,211.81443907118393,236.347082572417,221.45758004376714,236.31385155324259,9,2,1.2000000000000002
89,200.4949593538714,229.34875722316872,203.74316984114944,231.68774832934278,211.24624716821478,235.6693724498259,220.5034475342588,235.31503319087363,9,2,1.3
90,200.8322774597666,229.6357728059604,204.12816574001965,232.02127647185026,210.57894695385716,234.91092593697363,219.60045168361714,234.37451587185313,9,2,1.4000000000000001
91,201.10508920031245,229.91468833722362,204.42867230452504,232.3192457778774,209.93692905055624,234.22292979376434,219.17581421541476,233.93755561408048,9,2,1.5
92,201.05632218058378,229.62816236746684,204.52225222885343,232.21083699721194,209.23314529112884,233.41807235526284,218.96769148367417,233.7254327629519,9,2,1.6
93,200.91467786679468,229.56165873645423,204.5851690026201,232.23444485508875,207.8424600286182,231.87809973107844,218.59612235690096,233.36144979936915,9,2,1.7000000000000002
94,195.61092349732516,228.59292733625276,199.98837313447416,231.14710108632673,205.2994019514412,230.00047305805134,218.74982760854388,233.5049772745355,9,2,1.8
95,195.80619516987468,228.78844872457586,199.93408123155172,231.07802435914036,203.74795258404455,228.24840808704215,217.7401089867629,232.48752937532703,9,2,1.9000000000000001
96,195.99853982247032,228.98170940873345,199.88141109977394,231.01126870878042,202.45411110100474,226.7723820079901,217.73974962762955,232.48716716568677,9,2,2.0
97,195.74045741777502,227.97364453251308,198.26528798440282,228.68202613058244,198.46599360705912,222.19967461575638,217.73974962762955,232.48716716568677,9,2,2.4
98,198.11835845910733,230.5976963128719,198.51493184098592,229.1208283610941,197.15362420942316,220.7577723995393,217.73974962762955,232.48716716568677,9,2,2.8
99,197.4925106958081,230.62795084740327,196.40668724048444,226.9648536213878,196.45690335484997,219.98766225063707,217.73974962762955,232.48716716568677,9,2,3.2
100,196.89582146551638,230.44680565256294,194.49478401504274,224.83618615166998,196.2206120751663,219.72871084894624,217.73974962762955,232.48716716568677,9,2,3.6
101,196.53462354639655,230.01617760604353,192.87819561425928,222.95370763571663,194.61074840037716,217.971853109814,217.73974962762955,232.48716716568677,9,2,4.0
102,196.01279277970167,229.72877055589763,191.22091357726876,221.0647822523949,194.5256441881886,217.90535366844156,217.61929824729978,232.37819871748619,9,2,4.4
103,194.66510176857864,228.67905611584968,190.11779850035035,219.7879250615498,194.61011417841408,217.97116074070826,217.73974962762955,232.48716716568677,9,2,4.800000000000001
104,193.8900725524981,227.93728016702855,189.26716200668196,218.80294322398123,194.61011417841408,217.97116074070826,217.73974962762955,232.48716716568677,9,2,5.2
105,193.0129270656788,227.04819315868758,188.89147598280175,218.37721387183356,194.5256441881886,217.90535366844156,217.61929824729978,232.37819871748619,9,2,5.6
106,192.04122122348815,226.04250134533692,188.77023122354205,218.21046657146056,194.61011417841408,217.97116074070826,217.73974962762955,232.48716716568677,9,2,6.0
107,191.39504092795056,225.34532406183473,188.6880492984827,218.11272854718916,194.61011417841408,217.97116074070826,217.73974962762955,232.48716716568677,9,2,6.4
108,190.63413459987174,224.4895639660451,187.26506723305394,216.5318669374142,194.5256441881886,217.90535366844156,217.61929824729978,232.37819871748619,9,2,6.800000000000001
109,189.92374834108153,223.67931133537203,188.5689228896586,217.97429786842588,194.61011417841408,217.97116074070826,217.73974962762955,232.48716716568677,9,2,7.2
110,189.274352891046,222.91845019244948,188.53719161974155,217.93799960270152,194.61011417841408,217.97116074070826,217.73974962762955,232.48716716568677,9,2,7.6000000000000005
111,188.67154175262797,222.22121417976427,187.81291884898968,217.14278144456836,194.5256441881886,217.90535366844156,217.61929824729978,232.37819871748619,9,2,8.0
112,186.57836169856583,219.74267468827657,187.12403515455063,216.3504467481676,194.61011417841408,217.97116074070826,217.73974962762955,232.48716716568677,9,2,10.0
113,185.68975554672653,218.6836089935679,187.12403515455063,216.3504467481676,194.61011417841408,217.97116074070826,217.73974962762955,232.48716716568677,9,2,15.0
114,222.02340975860477,238.8356968691003,220.77192793950803,237.65065567192957,218.4395838916024,235.544267497625,225.80637454350867,242.38597650577188,13,3,0.0
115,220.96641212244776,237.0334305730041,220.0407969993933,236.1557861790629,218.90064302337547,235.12595977231908,228.8842080832694,244.22984597568544,13,3,0.1
116,219.69157099184798,235.8396201841764,219.17038742808623,235.3087237799815,219.21417116880158,235.33304220614482,231.07520818053817,246.06615508801508,13,3,0.2
117,218.4429919617749,234.6108074133751,218.5370653009708,234.6499196473311,219.7267576706062,235.6987088565505,232.99398065107314,247.64980918701926,13,3,0.30000000000000004
