thickness,twc,snowpack_index,06H,06V,10H,10V,19H,19V,37H,37V,01H,01V,thickness_dup,twc_dup,effective_permittivity_19,effective_permittivity_06
0.1,0.2,10,196.40555398305918,232.8454109732886,219.13667664653187,243.34883219337257,238.98831692499078,254.6347078638788,250.46667363290345,261.7634749467775,130.5710837673192,195.9324915957832,0.1,0.2,,
0.1,0.22,11,200.076586372755,234.79696682836806,222.87457282325616,245.62495472050352,241.86422695980184,256.6563576996905,252.451019983287,263.5111455052253,131.02652305538456,196.2106312854029,0.1,0.22,,
0.1,0.24,12,203.46657117529153,236.62165879820995,225.9735047128831,247.37421537488362,244.27128435340538,258.3721439000555,253.96369840902707,264.8059620558156,131.4742983032924,196.48674506240624,0.1,0.24,,
0.1,0.26,13,206.60018560588384,238.32952402786532,228.90738220979625,249.2201375778247,246.2910649242642,259.8346625529527,255.16707999239895,265.83515629753833,131.91455181916473,196.76078858640668,0.1,0.26,,
0.1,0.28,14,209.49967897568658,239.92969900270072,231.40672550395092,250.73677321623833,247.98985539545146,261.0861202716777,256.138071643493,266.67310032437433,132.3474238499966,197.0327273789117,0.1,0.28,,
0.1,0.3,15,212.18514078282652,241.43051943151494,233.72189622610685,252.24211851859434,249.20636876799057,261.8695941854759,256.9274753249518,267.3641837992286,132.773051915836,197.3025344900454,0.1,0.3,,
0.1,0.32,16,214.67473228726726,242.83960087479014,235.7810826318874,253.60228342720595,250.4347272069208,262.82131601443217,257.57249781515355,267.93914903484756,133.1915705689925,197.5701890386219,0.1,0.32,,
0.1,0.34,17,216.98488935093448,244.16390746864107,237.5179315617024,254.69602132135446,251.4759876861307,263.64569452046464,258.1015903551529,268.4207984021127,133.60311135781987,197.83567522967107,0.1,0.34,,
0.1,0.36,18,219.13050144944083,245.40981227571748,239.1600732394785,255.82137783324072,252.36067543923653,264.3623708832046,258.21746644164335,268.44220086908086,134.00780288717314,198.09898164717177,0.1,0.36,,
0.1,0.38,19,221.1250703456702,246.58315113987481,240.62775303810633,256.8449123300052,253.11408336818096,264.98773054078407,258.6108686099897,268.82737999313565,134.40577092124803,198.36010071367133,0.1,0.38,,
0.1,0.4,20,222.6303319855402,247.18647412172479,241.9415455049614,257.7778414026654,253.5557377580993,265.2647455670106,258.93849136374644,269.1570137948935,134.797138501123,198.61902825627786,0.1,0.4,,
0.1,0.42,21,224.36986220121784,248.24665692875976,242.94576331490597,258.38530605475455,254.12296346195842,265.76939001385796,259.21199580425343,269.44041905360234,135.18202606305792,198.87576314400167,0.1,0.42,,
0.1,0.44,22,225.9913906267643,249.24831105517475,244.0128045747387,259.1788474267597,254.61043345730164,266.2155399984942,259.4408131522032,269.68517877963126,135.56055155075623,199.1303069754609,0.1,0.44,,
0.1,0.46,23,227.50415619503056,250.195601412756,244.97275498823677,259.9071478217749,255.0304237727371,266.6115295588886,259.632601947244,269.89750127783964,135.9328305186649,199.38266380400643,0.1,0.46,,
0.1,0.48,24,228.9165767933971,251.09235414095465,245.75611890155523,260.4622288742463,255.39320442896604,266.9644056196659,259.7936037736157,270.0824949163144,136.2989762253986,199.63283989197637,0.1,0.48,,
0.5,0.0,0,136.6877385878371,203.81481668938613,137.00350122421986,197.2624264744394,147.53222364391974,195.80173238275503,180.88581000454005,210.89836917188742,125.48816142674391,192.96485938088577,0.5,0.0,,
