snowpack,06H,06V,10H,10V,19H,19V,37H,37V,twc,sp,weights
3176,185.6955743277226,256.5117402657311,196.0634190886329,255.87337881736505,210.51883140088455,257.8961645392439,224.97284555897676,261.5962762726865,15.0,105,44
3177,181.4226910355346,253.82882462268387,192.02893319950707,253.4832093516018,207.83467242249847,256.2322388429486,223.2856167098309,260.3109833885113,16.666666666666668,105,44
3178,177.42688676584348,251.34235259303952,188.5409574542966,251.59624929673453,204.48473632215004,254.10045964310734,221.59313354630063,258.9217167321452,18.333333333333336,105,44
3179,173.69691689972146,249.86827513937192,185.09291231559843,248.79581391210246,201.5342908538378,251.5987451165137,219.90356633431392,257.4489151938715,20.0,105,44
3180,177.24217043356492,206.73537360340697,183.55412669362846,211.85501818221147,193.57089066328172,219.63440935382374,206.5746868376501,232.181582789772,0.0,106,5
3181,194.68780589661858,223.01194784999717,206.89885388671965,233.92371093727297,219.25903289087475,244.93164855824702,229.10576542440924,254.50794812991023,0.1,106,5
3182,205.75941637368396,233.58951786313682,218.71304178435724,245.37137756436135,229.70224683555426,255.408012610647,235.41382297147177,260.7441987426023,0.2,106,5
3183,213.07620947434836,240.81900596854612,224.97670655295758,251.69472347072144,233.46997919854056,259.3286049459067,238.10700872804136,263.51888157968034,0.30000000000000004,106,5
3184,217.90704490256954,246.09095108443188,228.25684610048975,255.4152217434076,235.52459325492455,261.6399626100943,239.08495071409376,264.62345592385714,0.4,106,5
3185,221.1333531201523,249.62239590305177,230.23030090043093,257.76793201889694,236.00094114910544,262.3554760223977,238.71959274575212,264.4001506518343,0.5,106,5
3186,223.3969518012015,252.2699762953155,231.21644884027336,259.1337864808887,236.04585519455392,262.6434501883919,238.77830759310163,264.60776816447844,0.6000000000000001,106,5
3187,224.95836860403588,254.25783991219097,231.7390895012267,260.0427287397217,236.3237977994251,263.32850615167155,238.82153319550778,264.7971397651182,0.7000000000000001,106,5
3188,225.99904493339233,255.7457200194496,231.8575996071764,260.53644472617685,236.1541209739285,263.40946157356024,238.6009067893581,264.71519386478593,0.8,106,5
