,06H,06V,10H,10V,19H,19V,37H,37V,weight,drysp,depth,site,season
100,228.21066122701004,258.5310783325038,230.90315848085214,260.43043072088744,233.9285166123472,261.76759263858366,233.5265405304342,260.5888615063456,7,2,3.6,aws11,autumn
101,227.8940111352739,258.39820024026847,230.42658347430628,260.0382678785316,232.98474111049333,260.7528463765033,233.5265405304342,260.5888615063456,7,2,4.0,aws11,autumn
102,227.3664177243425,258.1908286691604,229.8082905374165,259.6266574559364,230.4198792321626,258.08501793876434,233.4723444710334,260.5330492951431,7,2,4.4,aws11,autumn
103,226.89528852635968,257.87754520018,228.33625799257888,257.96575350397467,231.18435192145833,258.78902994086803,233.5265405304342,260.5888615063456,7,2,4.800000000000001,aws11,autumn
104,226.50783203709548,257.6112313977067,227.60730050229014,257.27272121170466,230.41528170776584,257.9265821728492,233.5265405304342,260.5888615063456,7,2,5.2,aws11,autumn
105,225.88131158121598,257.2786712825667,226.61828468189663,256.3726912577547,229.46732723771018,256.9969386700213,233.4723444710334,260.5330492951431,7,2,5.6,aws11,autumn
106,225.37153702171435,256.78456321346556,226.0505342779688,255.88833251098882,229.71942869752294,257.16873186705556,233.5265405304342,260.5888615063456,7,2,6.0,aws11,autumn
107,224.82078238555488,256.3038800330504,224.99972518420532,254.79724800521163,229.52406827929198,256.9552512905964,233.5265405304342,260.5888615063456,7,2,6.4,aws11,autumn
108,223.98470934197908,255.73155428912546,224.03067145015723,253.88737168867382,229.13533329683665,256.61833627624213,233.4723444710334,260.5330492951431,7,2,6.800000000000001,aws11,autumn
109,223.23581579683216,254.913884829956,222.77614274989,252.41704414712723,227.93992200696187,255.2644539997986,233.5265405304342,260.5888615063456,7,2,7.2,aws11,autumn
110,222.4453722652236,254.15412870009234,221.76440769621192,251.3094053658596,227.93992200696187,255.2644539997986,233.5265405304342,260.5888615063456,7,2,7.6000000000000005,aws11,autumn
111,221.56961894048501,253.45576926553085,221.06963020282865,250.6544196306625,227.71825238906575,255.10650330970975,233.4723444710334,260.5330492951431,7,2,8.0,aws11,autumn
112,216.6528121086103,248.26284284905674,217.96240817438317,246.99087619391628,227.93992200696187,255.2644539997986,233.5265405304342,260.5888615063456,7,2,10.0,aws11,autumn
113,207.54287127463567,238.16024592042018,214.9947896565741,243.79643094385992,228.01271236364556,255.30376986965362,233.5265405304342,260.5888615063456,7,2,15.0,aws11,autumn
114,223.213403442217,259.80401506221926,226.829132897423,261.6389056773266,231.358818513688,263.875586535441,234.50866197520253,265.39372044928905,23,3,0.0,aws11,autumn
115,230.33785906149996,259.5667006775713,232.34438721387681,261.45202611366733,235.15528904899307,263.9908238100329,237.09962857086512,265.75298778988946,23,3,0.1,aws11,autumn
116,229.9852618256816,259.07080610406973,232.3913816292715,261.43323760451955,235.42261894364302,264.1809455292952,237.44331503692726,266.01555157881444,23,3,0.2,aws11,autumn
117,230.1464582774646,259.32355221421113,232.45986937734122,261.439711177378,235.59453147329248,264.34986382686964,237.64084762700764,266.1385071480875,23,3,0.30000000000000004,aws11,autumn
118,228.68993066574586,257.3289030726797,231.0952619405392,259.49525702065455,234.390210573851,262.5446781469568,236.0790621097514,263.82925620828826,23,3,0.4,aws11,autumn
119,230.2462203750517,259.3043029869593,232.53672522725213,261.45638660044744,235.95534044812226,264.569704556568,237.53925873858552,265.8697762895866,23,3,0.5,aws11,autumn
120,230.34006767756927,259.33458998927006,232.64903092365788,261.5244511678239,236.19300206827555,264.7486715724121,237.54163994108097,265.9048781890736,23,3,0.6000000000000001,aws11,autumn
121,230.18720801521795,259.0570107919311,232.63294429172245,261.4397577480207,236.3954988881493,264.8859396675201,237.40015126660566,265.7233702634509,23,3,0.7000000000000001,aws11,autumn
122,230.24148296966615,259.1849689991871,232.78476638152884,261.53258092200224,236.5048378420374,264.98804589058057,237.2143013878685,265.49822325102156,23,3,0.8,aws11,autumn
123,228.88477586592694,257.3156929720313,231.5201148941243,259.7329521399765,235.4313402357732,263.40405781316986,235.9717496025841,263.8303726497473,23,3,0.9,aws11,autumn
124,230.3603405262863,259.20067204644397,232.81752521157358,261.52736817972954,236.67112207753271,265.0257090798572,236.72223065433133,264.9469870418054,23,3,1.0,aws11,autumn
125,230.61646204810776,259.3161433177822,233.0899350096956,261.6900309706566,236.90722988102746,265.19378593453905,236.47915337395963,264.6720709865493,23,3,1.1,aws11,autumn
126,230.67248587267065,259.3574215607632,233.19069215600655,261.767961070419,237.01610003332374,265.26616890832935,236.24806897694,264.4160436483167,23,3,1.2000000000000002,aws11,autumn
127,230.4772873079213,259.29175023139516,232.959430898981,261.6039794292274,236.9514186119616,265.21853447921734,236.0360053074886,264.1822621085822,23,3,1.3,aws11,autumn
